circuit,protocol,iters,train_size,test_size,pval,data_time,d_tree_time,bias_sharing,bias_and,accidental_secret,accidental_gate
adder_1.txt,gmw,64,256,128,1.0,0.29,1.82,0,1,0,0
adder_1.txt,gmw,64,256,128,1.0,0.28,1.9,0,1,0,0
adder_1.txt,gmw,64,512,256,1.0,0.3,1.85,0,1,0,0
adder_1.txt,gmw,64,512,256,1.0,0.36,1.8,0,1,0,0
adder_1.txt,gmw,64,512,256,1.0,0.32,1.42,0,1,0,0
adder_1.txt,gmw,128,128,64,1.0,0.26,1.45,0,1,0,0
adder_1.txt,gmw,128,128,64,1.0,0.25,1.42,0,1,0,0
adder_1.txt,gmw,128,128,64,1.0,0.26,1.46,0,1,0,0
adder_1.txt,gmw,128,256,128,1.0,0.32,1.45,0,1,0,0
adder_1.txt,gmw,128,256,128,1.0,0.32,1.46,0,1,0,0
adder_1.txt,gmw,128,256,128,1.0,0.31,1.33,0,1,0,0
adder_1.txt,gmw,128,512,256,1.0,0.42,1.56,0,1,0,0
adder_1.txt,gmw,128,512,256,1.0,0.44,1.65,0,1,0,0
adder_1.txt,gmw,128,512,256,1.0,0.45,1.67,0,1,0,0
adder_1.txt,gmw,64,128,64,1.0,0.23,1.53,0,2,0,0
adder_1.txt,gmw,64,128,64,1.0,0.25,1.55,0,2,0,0
adder_1.txt,gmw,64,128,64,1.0,0.24,1.57,0,2,0,0
adder_1.txt,gmw,64,256,128,1.0,0.28,1.87,0,2,0,0
adder_1.txt,gmw,64,256,128,1.0,0.28,1.86,0,2,0,0
adder_1.txt,gmw,64,256,128,1.0,0.3,1.89,0,2,0,0
adder_1.txt,gmw,64,512,256,1.0,0.34,1.84,0,2,0,0
adder_1.txt,gmw,64,512,256,1.0,0.34,1.91,0,2,0,0
adder_1.txt,gmw,64,512,256,1.0,0.36,1.83,0,2,0,0
adder_1.txt,gmw,128,128,64,1.0,0.28,1.85,0,2,0,0
adder_1.txt,gmw,128,128,64,1.0,0.26,1.83,0,2,0,0
adder_1.txt,gmw,128,128,64,0.9631808649398487,0.27,1.9,0,2,0,0
adder_1.txt,gmw,128,256,128,1.0,0.33,1.91,0,2,0,0
adder_1.txt,gmw,128,256,128,1.0,0.34,1.71,0,2,0,0
adder_1.txt,gmw,128,256,128,1.0,0.32,1.66,0,2,0,0
adder_1.txt,gmw,128,512,256,1.0,0.44,1.65,0,2,0,0
adder_1.txt,gmw,128,512,256,1.0,0.45,1.66,0,2,0,0
adder_1.txt,gmw,128,512,256,1.0,0.46,1.72,0,2,0,0
adder_1.txt,gmw,64,128,64,0.9631808649398487,0.22,1.57,0,3,0,0
adder_1.txt,gmw,64,128,64,0.9772498680518208,0.21,1.86,0,3,0,0
adder_1.txt,gmw,64,128,64,0.9772498680518208,0.26,1.82,0,3,0,0
adder_1.txt,gmw,64,256,128,1.0,0.28,1.84,0,3,0,0
adder_1.txt,gmw,64,256,128,1.0,0.28,1.83,0,3,0,0
adder_1.txt,gmw,64,256,128,1.0,0.29,1.75,0,3,0,0
adder_1.txt,gmw,64,512,256,1.0,0.35,1.49,0,3,0,0
adder_1.txt,gmw,64,512,256,1.0,0.33,1.47,0,3,0,0
adder_1.txt,gmw,64,512,256,1.0,0.33,1.5,0,3,0,0
adder_1.txt,gmw,128,128,64,0.9772498680518208,0.27,1.47,0,3,0,0
adder_1.txt,gmw,128,128,64,0.9852718071837143,0.26,1.47,0,3,0,0
adder_1.txt,gmw,128,128,64,0.9631808649398487,0.26,1.46,0,3,0,0
adder_1.txt,gmw,128,256,128,0.9772498680518208,0.31,1.35,0,3,0,0
adder_1.txt,gmw,128,256,128,1.0,0.32,1.35,0,3,0,0
adder_1.txt,gmw,128,256,128,1.0,0.33,1.38,0,3,0,0
adder_1.txt,gmw,128,512,256,1.0,0.46,1.36,0,3,0,0
adder_1.txt,gmw,128,512,256,1.0,0.44,1.37,0,3,0,0
adder_1.txt,gmw,128,512,256,1.0,0.44,1.36,0,3,0,0
adder_1.txt,gmw,64,128,64,1.0,0.21,1.31,0,0,0.5,0
adder_1.txt,gmw,64,128,64,1.0,0.22,1.31,0,0,0.5,0
adder_1.txt,gmw,64,128,64,1.0,0.2,1.29,0,0,0.5,0
adder_1.txt,gmw,64,256,128,1.0,0.27,1.3,0,0,0.5,0
adder_1.txt,gmw,64,256,128,1.0,0.25,1.29,0,0,0.5,0
adder_1.txt,gmw,64,256,128,1.0,0.26,1.29,0,0,0.5,0
adder_1.txt,gmw,64,512,256,1.0,0.32,1.29,0,0,0.5,0
adder_1.txt,gmw,64,512,256,1.0,0.31,1.29,0,0,0.5,0
adder_1.txt,gmw,64,512,256,1.0,0.31,1.34,0,0,0.5,0
